id,city,state,country
bfafb9b7-2293-46b5-adb4-7cfee98035c4,Tokyo,Tōkyō,Japan
db8ad2b2-9888-45ca-a1f0-88dc65fc3150,New York,New York,United States
f543675b-d3fd-4df4-a4d9-ff368eaecdb6,Mexico City,Ciudad de México,Mexico
6f2c357d-811e-4a12-8f0d-bb29defb7b7a,Mumbai,Mahārāshtra,India
0b865980-b733-4d76-8fec-619529586939,Sao Paulo,São Paulo,Brazil
ff6469db-16c0-49d3-82ea-35bdf486cca7,Delhi,Delhi,India
a8a08954-f9ef-4ea4-bcaf-bcde37b04398,Shanghai,Shanghai,China
cbf693ff-5878-4aa1-bfb6-98869215ba66,Kolkata,West Bengal,India
5dc08097-e2f0-4a8d-a57b-b65220be3647,Los Angeles,California,United States
4ca77355-782c-4751-ab5a-a0054cc9fcc8,Dhaka,Dhaka,Bangladesh
2cb48b29-6987-4512-8133-03ddbdeb2914,Buenos Aires,"Buenos Aires, Ciudad Autónoma de",Argentina
830ee2da-6764-4918-92ba-8384a4cd1e41,Karachi,Sindh,Pakistan
0a0736de-8a91-45be-8aae-e5254bc537a4,Cairo,Al Qāhirah,Egypt
2a300b9f-cc29-4b36-a90b-9e4f02f6f6c8,Rio de Janeiro,Rio de Janeiro,Brazil
b19fa2ce-6168-4b1b-bb0e-b5d47f40b140,Osaka,Ōsaka,Japan
6bff1101-7e95-42b3-a075-3717b6fd8d94,Beijing,Beijing,China
2d141e00-9e19-4784-8e8f-e81d62f351a1,Manila,Manila,Philippines
1cba4fbc-90bc-4729-bfab-169a9f773d6a,Moscow,Moskva,Russia
133bd3cb-2999-4a25-abc4-2d67699888f8,Istanbul,İstanbul,Turkey
866fd5b8-3184-45cf-977b-27987a057f0a,Paris,Île-de-France,France
417d91f4-7dd4-4e6a-9622-c53fca838edf,Seoul,Seoul,"Korea, South"
01c08843-1675-467e-8066-80c9c3b32a6d,Lagos,Lagos,Nigeria
32201fd8-28fb-4beb-90c9-25ebc415d1fd,Jakarta,Jakarta,Indonesia
18ff1394-9374-4588-9a5a-3d7e9d96f524,Guangzhou,Guangdong,China
4f211b19-d5c6-40c7-ae02-1a5c08cf39c7,Chicago,Illinois,United States
d7cc3c01-f12a-4000-988a-b429a40592f8,London,"London, City of",United Kingdom
bb93a3d8-c8b2-49f6-bf8d-929985784d6e,Lima,Lima,Peru
c44ba1fc-f54d-448f-a531-28e5dae8cf7d,Tehran,Tehrān,Iran
7c257fd9-79bf-4e3f-bf7c-cfafc48c48d7,Kinshasa,Kinshasa,Congo (Kinshasa)
eda30c1d-5471-437e-be6d-1697057858d0,Bogota,Bogotá,Colombia
99720c1f-433a-47bd-b81f-803fd314155e,Shenzhen,Guangdong,China
b749ac1e-54fd-4af8-b67b-914f4a5abd4e,Wuhan,Hubei,China
a8ac55d0-1389-4eaf-83e6-5c59e473a1da,Hong Kong,,Hong Kong
5495e3de-eba5-41f5-9fc5-9fa2ddadd014,Tianjin,Tianjin,China
539671b9-921b-42da-bb2e-75f375d674d6,Chennai,Tamil Nādu ,India
66f72d17-53db-4cb6-a92c-f183def58902,Taipei,Taipei,Taiwan
f92b0e99-f3c3-410d-9be8-3363199c5091,Bengaluru,Karnātaka,India
9b923217-2759-4973-9b87-53a69f7fa6a4,Bangkok,Krung Thep Maha Nakhon,Thailand
b69ed5c5-d41e-4371-a8cc-4100c518a3b9,Lahore,Punjab,Pakistan
c0ee91f6-d20f-4d80-a451-ee18c9e55da5,Chongqing,Chongqing,China
5d754442-043b-486a-bb23-8231cc3e862e,Miami,Florida,United States
ca0d15a7-da16-4c9e-adee-0c7abdfbd184,Hyderabad,Telangana,India
190de6f7-ff22-4fe2-9d76-8caa02ab10ef,Dallas,Texas,United States
bd7ea867-17b7-471f-a5fc-f3dcf284d60d,Santiago,Región Metropolitana,Chile
f6f97c87-a91c-4071-a5a4-701356c4ab57,Philadelphia,Pennsylvania,United States
675c823f-ca84-432a-82c5-132ed987493d,Belo Horizonte,Minas Gerais,Brazil
4b3389ed-f69f-4da6-aebc-10ccabbf4a8f,Madrid,Madrid,Spain
de3e322a-a086-452b-af5e-6e6dbaa5bc7e,Houston,Texas,United States
c1b899a0-5d02-4d9a-8be8-7d3fea9d09b1,Ahmadabad,Gujarāt,India
